gene	log2PAO1A1	log2PAO1A2	log2PAO1A3	log2PAO1B1	log2PAO1B2	log2PAO1B3	log2PAO1C1	log2PAO1C2	log2PAO1C3	log2mutSA1	log2mutSA2	log2mutSA3	log2mutSB1	log2mutSB2	log2mutSB3	log2mutSC1	log2mutSC2	log2mutSC3
PA1000_at	0.440497202	0.211531003	-0.495359243	-1.551805735	-3.292379728	-0.084464207	-0.780165918	-0.41308583	-1.553665035	0.223945756	-0.141034077	0.65508562	0.032295555	0.746512844	1.728222875	0.441680849	-0.331137453	0.430267504
PA3307_r_at	-2.215717367	-2.103947841	-1.514146118	-1.995212851	-0.471282523	-1.479455517	-0.834920082	0.034342998	-0.336064735	0.311017572	0.275546762	-0.117430847	0.27864804	-0.27166485	0.305330353	0.579962086	-0.148466748	-0.149396707
PA1473_at	-2.029461173	-1.422608299	-2.087977129	-1.647937379	-1.031212207	0.306696436	-1.091952398	-0.827582405	-1.777787806	-0.029219588	-0.202877326	-0.110321578	0.029723099	-0.017287572	-0.309693685	0.350627306	0.187316262	0.222262657
PA1474_at	-2.237525319	-2.03645523	-2.464749149	-2.465470083	-1.328660808	-0.296744354	-1.258551165	-0.431772992	-1.451019006	-0.202622971	0.147121232	0.263042098	-0.037435879	0.209389046	0.154470049	0.619668683	-0.034383564	-0.146860885
PA3348_at	-1.71721602	-1.977604002	-2.080874954	-1.727145928	-1.227737505	-0.182462277	-1.604489739	-0.764016867	-1.252895643	0.236399697	0.362410942	0.045044705	0.181380779	-0.159381978	-0.064152789	0.386121418	-0.093628105	-0.102759792
PA5353_glcF_at	-0.459615554	-0.798429383	-1.541391185	-2.202530204	-2.445998343	-0.827649687	-0.251511884	-0.381592503	-0.974739735	0.149285966	0.278006746	0.116712914	-0.295370745	0.228855244	0.641203002	2.030577693	0.134459082	0.131536902
PA0997_at	0.237394078	-0.092973471	-0.544892911	-1.492486301	-4.419907978	0.835832393	-0.86818519	-0.656264027	-2.161477001	0.523930049	-0.478653599	0.903893127	0.294610401	0.872095423	1.593223011	0.257235327	-0.504550635	0.603342287
PA2654_at	-0.447332453	-0.485134406	-1.01309582	-0.796047466	-0.261849734	-0.500141619	-1.7163477	-0.847574398	-0.558607422	2.174928654	2.44067136	2.234674469	-0.179772489	-0.243991208	0.073252659	0.18809499	0.196496469	-0.303238887
PA3351_at	-1.331764743	-1.192245243	-1.240269358	-1.998317868	-0.756446185	-0.755124977	-1.953585891	-0.424278624	-1.653630212	1.537164622	1.310903328	1.274485443	-0.574550213	-0.44960021	-0.520258097	-0.022299422	-0.347741607	-0.346011383
PA4324_at	-1.967164866	-1.993946868	-1.920242932	-3.089962275	-1.818909523	-1.915857842	-1.916049449	-0.581150044	-1.974026203	0.172416032	0.010619844	-0.570130632	0.262668941	-0.192551939	-0.651148968	0.185517326	-0.567211917	-0.210355366
